beer,taster,hoppig,kleur,score
Beer_A,Person_1,1.5,blond,3.0
Beer_A,Person_1,3.5,blond,4.0
Beer_B,Person_1,2.0,hoogblond,5.0
Beer_B,Person_1,4.5,blond,3.0
Beer_C,Person_1,1.0,blond,5.0
Beer_A,Person_2,4.0,bruin,3.0
Beer_A,Person_2,3.0,blond,2.0
Beer_B,Person_2,2.5,blond,4.0
Beer_C,Person_2,5.0,blond,3.5
Beer_D,Person_2,2.0,rood,5.0
Beer_A,Person_3,1.5,bruin,2.5
Beer_A,Person_3,3.5,bruin,1.0
Beer_A,Person_3,4.0,hoogblond,2.0
Beer_A,Person_3,2.0,blond,3.5
Beer_B,Person_3,4.5,blond,4.0
Beer_B,Person_3,3.0,rood,5.0
Beer_C,Person_3,1.0,bruin,1.0
Beer_D,Person_3,4.0,blond,4.0
